#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTD1-PRO_0000449620	uniprotkb:O60573	intact:EBI-25475859	intact:EBI-398610|uniprotkb:B8ZZJ9|uniprotkb:O75349	psi-mi:p0dtd1-pro_0000449620(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:if4e2_human(display_long)|uniprotkb:EIF4E2(gene name)|psi-mi:EIF4E2(display_short)|uniprotkb:mRNA cap-binding protein type 3(gene name synonym)|uniprotkb:Eukaryotic translation initiation factor 4E-like 3(gene name synonym)|uniprotkb:Eukaryotic translation initiation factor 4E homologous protein(gene name synonym)|uniprotkb:mRNA cap-binding protein 4EHP(gene name synonym)|uniprotkb:eIF4E-like protein 4E-LP(gene name synonym)|uniprotkb:EIF4EL3(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490913|imex:IM-27814-43	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449620	uniprotkb:O14975	intact:EBI-25475859	intact:EBI-2801436|uniprotkb:Q6PF09|uniprotkb:Q53FY6|uniprotkb:A8K2J7	psi-mi:p0dtd1-pro_0000449620(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:s27a2_human(display_long)|uniprotkb:ACSVL1(gene name synonym)|uniprotkb:FACVL1(gene name synonym)|uniprotkb:FATP2(gene name synonym)|uniprotkb:VLACS(gene name synonym)|uniprotkb:Fatty acid transport protein 2(gene name synonym)|uniprotkb:Fatty-acid-coenzyme A ligase, very long-chain 1(gene name synonym)|uniprotkb:Long-chain-fatty-acid--CoA ligase(gene name synonym)|uniprotkb:Solute carrier family 27 member 2(gene name synonym)|uniprotkb:THCA-CoA ligase(gene name synonym)|uniprotkb:Very long-chain-fatty-acid-CoA ligase(gene name synonym)|uniprotkb:SLC27A2(gene name)|psi-mi:SLC27A2(display_short)|uniprotkb:Arachidonate--CoA ligase(gene name synonym)|uniprotkb:Phytanate--CoA ligase(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490913|imex:IM-27814-43	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:Q9Y5J7	intact:EBI-25475862	intact:EBI-1200370|uniprotkb:B2R584	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:tim9_human(display_long)|uniprotkb:TIMM9(gene name)|psi-mi:TIMM9(display_short)|uniprotkb:TIM9(gene name synonym)|uniprotkb:TIM9A(gene name synonym)|uniprotkb:TIMM9A(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:Q9Y5J6	intact:EBI-25475862	intact:EBI-1200382|uniprotkb:Q96FF3	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:t10b_human(display_long)|uniprotkb:TIMM10B(gene name)|psi-mi:TIMM10B(display_short)|uniprotkb:FXC1(gene name synonym)|uniprotkb:Fracture callus protein 1(gene name synonym)|uniprotkb:FxC1(gene name synonym)|uniprotkb:Mitochondrial import inner membrane translocase subunit Tim9 B(gene name synonym)|uniprotkb:TIM9B(gene name synonym)|uniprotkb:TIMM10B(gene name synonym)|uniprotkb:TIMM9B(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:Q9NVH1	intact:EBI-25475862	intact:EBI-1055336|uniprotkb:Q4VWF5|uniprotkb:Q5VZN0|uniprotkb:Q6PK20|uniprotkb:Q6PK70|uniprotkb:Q8NDM2|uniprotkb:Q96CL7	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:djc11_human(display_long)|uniprotkb:DNAJC11(gene name)|psi-mi:DNAJC11(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:Q9BSF4	intact:EBI-25475862	intact:EBI-10974729|uniprotkb:Q96EY6|uniprotkb:Q96IT8	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:tim29_human(display_long)|uniprotkb:TIMM29(gene name)|psi-mi:TIMM29(display_short)|uniprotkb:c19orf52(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:Q8TEM1	intact:EBI-25475862	intact:EBI-372826|uniprotkb:O94980|uniprotkb:Q6NXG6|uniprotkb:Q8NBJ1|uniprotkb:Q9H6C8|uniprotkb:Q9UFP3|uniprotkb:A6NN56	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:po210_human(display_long)|uniprotkb:KIAA0906(gene name synonym)|uniprotkb:NUP210(gene name)|psi-mi:NUP210(display_short)|uniprotkb:PSEC0245(orf name)|uniprotkb:Nuclear envelope pore membrane protein POM 210(gene name synonym)|uniprotkb:Pore membrane protein of 210 kDa(gene name synonym)|uniprotkb:Nucleoporin Nup210(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:Q2TAA5	intact:EBI-25475862	intact:EBI-1048799|uniprotkb:Q5TAN9|uniprotkb:Q6DKI6|uniprotkb:Q96FI7|uniprotkb:B4DKW9|uniprotkb:A5PLP3	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:alg11_human(display_long)|uniprotkb:ALG11(gene name)|psi-mi:ALG11(display_short)|uniprotkb:GT8(gene name synonym)|uniprotkb:Asparagine-linked glycosylation protein 11 homolog(gene name synonym)|uniprotkb:Glycolipid 2-alpha-mannosyltransferase(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:P62072	intact:EBI-25475862	intact:EBI-1200391|uniprotkb:Q9WV99|uniprotkb:Q9WVA0|uniprotkb:Q9Y5J8|uniprotkb:A8K136	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:tim10_human(display_long)|uniprotkb:TIMM10(gene name)|psi-mi:TIMM10(display_short)|uniprotkb:TIM10(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:P14735	intact:EBI-25475862	intact:EBI-2556886|uniprotkb:D3DR35|uniprotkb:B7ZAU2|uniprotkb:Q5T5N2|uniprotkb:B2R721	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ide_human(display_long)|uniprotkb:IDE(gene name)|psi-mi:IDE(display_short)|uniprotkb:Insulin protease(gene name synonym)|uniprotkb:Insulysin(gene name synonym)|uniprotkb:Abeta-degrading protease(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490940|imex:IM-27814-29	intact-miscore:0.35
uniprotkb:Q9UJZ1	intact:EBI-25475912	intact:EBI-1044428|uniprotkb:B4E1K7|uniprotkb:D3DRN3|uniprotkb:O60376|uniprotkb:Q53G29|uniprotkb:Q96FY2|uniprotkb:Q9P042	-	psi-mi:stml2_human(display_long)|uniprotkb:EPB72-like protein 2(gene name synonym)|uniprotkb:STOML2(gene name)|psi-mi:STOML2(display_short)|uniprotkb:SLP2(gene name synonym)|uniprotkb:HSPC108(orf name)|uniprotkb:Paraprotein target 7(gene name synonym)	psi-mi:orf3b_wcpv(display_short)|psi-mi:EBI-25475912(display_long)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491308|imex:IM-27814-49	intact-miscore:0.40
uniprotkb:P0DTC6	uniprotkb:Q9NZJ7	intact:EBI-25475897	intact:EBI-297455|uniprotkb:Q6PK60|uniprotkb:Q6UX45|uniprotkb:Q7L465|uniprotkb:Q9BW23|uniprotkb:Q9NZR6|uniprotkb:Q9UJZ5|uniprotkb:B2RCE3|uniprotkb:A8KAX5	psi-mi:ns6_sars2(display_long)|uniprotkb:Accessory protein 6(gene name synonym)|uniprotkb:Protein X3(gene name synonym)|uniprotkb:6(orf name)	psi-mi:mtch1_human(display_long)|uniprotkb:Presenilin-associated protein(gene name synonym)|uniprotkb:CGI-64(orf name)|uniprotkb:MTCH1(gene name)|psi-mi:MTCH1(display_short)|uniprotkb:PSAP(gene name synonym)|uniprotkb:UNQ1871/PRO4314(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491317|imex:IM-27814-35	intact-miscore:0.35
uniprotkb:P0DTC6	uniprotkb:P78406	intact:EBI-25475897	intact:EBI-724495|uniprotkb:A8K882|uniprotkb:O15306|uniprotkb:Q3SYL7|uniprotkb:Q5TCH8|uniprotkb:Q6V708|uniprotkb:Q9H100|uniprotkb:Q9NQM6	psi-mi:ns6_sars2(display_long)|uniprotkb:Accessory protein 6(gene name synonym)|uniprotkb:Protein X3(gene name synonym)|uniprotkb:6(orf name)	psi-mi:rae1l_human(display_long)|uniprotkb:mRNA-associated protein mrnp 41(gene name synonym)|uniprotkb:Rae1 protein homolog(gene name synonym)|uniprotkb:RAE1(gene name)|psi-mi:RAE1(display_short)|uniprotkb:MRNP41(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491317|imex:IM-27814-35	intact-miscore:0.53
uniprotkb:P0DTC6	uniprotkb:P52948	intact:EBI-25475897	intact:EBI-295727|uniprotkb:Q8IUT2|uniprotkb:Q8WYB0|uniprotkb:Q96E54|uniprotkb:Q9H3Q4|uniprotkb:Q9NT02|uniprotkb:Q9UF57|uniprotkb:Q9UHX0|uniprotkb:Q9Y6J4|uniprotkb:Q9Y6J5	psi-mi:ns6_sars2(display_long)|uniprotkb:Accessory protein 6(gene name synonym)|uniprotkb:Protein X3(gene name synonym)|uniprotkb:6(orf name)	psi-mi:nup98_human(display_long)|uniprotkb:NUP98(gene name)|psi-mi:NUP98(display_short)|uniprotkb:ADAR2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491317|imex:IM-27814-35	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q9Y673	intact:EBI-25475894	intact:EBI-11725055|uniprotkb:B4DR37|uniprotkb:Q5TBA6	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:alg5_human(display_long)|uniprotkb:ALG5(gene name)|psi-mi:ALG5(display_short)|uniprotkb:Asparagine-linked glycosylation protein 5 homolog(gene name synonym)|uniprotkb:HSPC149(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q9UH99	intact:EBI-25475894	intact:EBI-1044964|uniprotkb:B0QY62|uniprotkb:Q504T5|uniprotkb:O75156|uniprotkb:Q2NKN8|uniprotkb:Q6B4H1|uniprotkb:Q7Z3E3|uniprotkb:Q2T9F7	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:sun2_human(display_long)|uniprotkb:Sad1/unc-84 protein-like 2(gene name synonym)|uniprotkb:Rab5-interacting protein(gene name synonym)|uniprotkb:SUN2(gene name)|psi-mi:SUN2(display_short)|uniprotkb:FRIGG(gene name synonym)|uniprotkb:KIAA0668(gene name synonym)|uniprotkb:RAB5IP(gene name synonym)|uniprotkb:UNC84B(gene name synonym)|uniprotkb:Protein unc-84 homolog B(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q9H270	intact:EBI-25475894	intact:EBI-373380|uniprotkb:Q8WY89|uniprotkb:Q96EP8|uniprotkb:Q9H6D9|uniprotkb:Q9HCS6	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:vps11_human(display_long)|uniprotkb:VPS11(gene name)|psi-mi:VPS11(display_short)|uniprotkb:PP3476(orf name)|uniprotkb:RING finger protein 108(gene name synonym)|uniprotkb:RNF108(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q96S66	intact:EBI-25475894	intact:EBI-2836109|uniprotkb:Q8WYP9|uniprotkb:Q8WYP8|uniprotkb:O94861|uniprotkb:Q9BU25	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:clcc1_human(display_long)|uniprotkb:CLCC1(gene name)|psi-mi:CLCC1(display_short)|uniprotkb:KIAA0761(gene name synonym)|uniprotkb:MCLC(gene name synonym)|uniprotkb:Mid-1-related chloride channel protein 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q96JC1	intact:EBI-25475894	intact:EBI-1050197|uniprotkb:O94869|uniprotkb:Q7Z3V3|uniprotkb:Q96B93|uniprotkb:Q96RM0|uniprotkb:Q71SQ6	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:vps39_human(display_long)|uniprotkb:KIAA0770(gene name synonym)|uniprotkb:VPS39(gene name)|psi-mi:VPS39(display_short)|uniprotkb:VAM6(gene name synonym)|uniprotkb:TLP(gene name synonym)|uniprotkb:TRAP1-like protein(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q8N6S5	intact:EBI-25475894	intact:EBI-2808844|uniprotkb:Q7Z4G7|uniprotkb:B2RDS6	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:ar6p6_human(display_long)|uniprotkb:ARL6IP6(gene name)|psi-mi:ARL6IP6(display_short)|uniprotkb:PFAAP1(gene name synonym)|uniprotkb:Phosphonoformate immuno-associated protein 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:Q8IWR1	intact:EBI-25475894	intact:EBI-10262539|uniprotkb:A8K5G9|uniprotkb:D3DNL9	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:tri59_human(display_long)|uniprotkb:TRIM59(gene name)|psi-mi:TRIM59(display_short)|uniprotkb:RING finger protein 104(gene name synonym)|uniprotkb:RNF104(gene name synonym)|uniprotkb:TRIM57(gene name synonym)|uniprotkb:TSBF1(gene name synonym)|uniprotkb:Tumor suppressor TSBF-1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:P0DTC3	uniprotkb:P09601	intact:EBI-25475894	intact:EBI-2806151	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:hmox1_human(display_long)|uniprotkb:HO(gene name synonym)|uniprotkb:HO1(gene name synonym)|uniprotkb:HMOX1(gene name)|psi-mi:HMOX1(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491278|imex:IM-27814-19	intact-miscore:0.35
uniprotkb:A0A663DJA2	uniprotkb:Q9C0D3	intact:EBI-25475906	intact:EBI-1811414|uniprotkb:Q8N2X3|uniprotkb:Q9H8L8	psi-mi:a0a663dja2_sars2(display_long)|uniprotkb:ORF10(gene name)|psi-mi:ORF10(display_short)	psi-mi:zy11b_human(display_long)|uniprotkb:ZYG11B(gene name)|psi-mi:ZYG11B(display_short)|uniprotkb:KIAA1730(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491245|imex:IM-27814-17	intact-miscore:0.35
uniprotkb:A0A663DJA2	uniprotkb:Q15370	intact:EBI-25475906	intact:EBI-301238|uniprotkb:B7WPD3	psi-mi:a0a663dja2_sars2(display_long)|uniprotkb:ORF10(gene name)|psi-mi:ORF10(display_short)	psi-mi:elob_human(display_long)|uniprotkb:ELOB(gene name)|psi-mi:ELOB(display_short)|uniprotkb:Elongin 18 kDa subunit(gene name synonym)|uniprotkb:RNA polymerase II transcription factor SIII subunit B(gene name synonym)|uniprotkb:SIII p18(gene name synonym)|uniprotkb:TCEB2(gene name synonym)|uniprotkb:Transcription elongation factor B polypeptide 2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491245|imex:IM-27814-17	intact-miscore:0.35
uniprotkb:A0A663DJA2	uniprotkb:Q15369	intact:EBI-25475906	intact:EBI-301231|uniprotkb:E5RGD9|uniprotkb:Q567Q6	psi-mi:a0a663dja2_sars2(display_long)|uniprotkb:ORF10(gene name)|psi-mi:ORF10(display_short)	psi-mi:eloc_human(display_long)|uniprotkb:ELOC(gene name)|psi-mi:ELOC(display_short)|uniprotkb:Elongin 15 kDa subunit(gene name synonym)|uniprotkb:RNA polymerase II transcription factor SIII subunit C(gene name synonym)|uniprotkb:SIII p15(gene name synonym)|uniprotkb:TCEB1(gene name synonym)|uniprotkb:Transcription elongation factor B polypeptide 1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491245|imex:IM-27814-17	intact-miscore:0.35
uniprotkb:A0A663DJA2	uniprotkb:P62877	intact:EBI-25475906	intact:EBI-398523|uniprotkb:B2RDY1|uniprotkb:Q8N6Z8|uniprotkb:Q9D1S2|uniprotkb:Q9WUK9|uniprotkb:Q9Y254	psi-mi:a0a663dja2_sars2(display_long)|uniprotkb:ORF10(gene name)|psi-mi:ORF10(display_short)	psi-mi:rbx1_human(display_long)|uniprotkb:RBX1(gene name)|psi-mi:RBX1(display_short)|uniprotkb:RNF75(gene name synonym)|uniprotkb:ROC1(gene name synonym)|uniprotkb:Regulator of cullins 1(gene name synonym)|uniprotkb:RING finger protein 75(gene name synonym)|uniprotkb:Protein ZYP(gene name synonym)|uniprotkb:RING-box protein 1(gene name synonym)|uniprotkb:E3 ubiquitin-protein transferase RBX1(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25491245|imex:IM-27814-17	intact-miscore:0.35
